, best_precision, best_recall, balanced, promethee_precision, promethee_recall, bac, precision, recall, f1, auc, gmean,AdaBoost,Bagging
glass1,0.6186071018630328,0.6601366383560008,0.6601366383560008,0.6186071018630328,0.6601366383560008,0.6161937186175676,0.5475776920580002,0.5968370809260655,0.6031269498711359,0.6194634331515818,0.6248172914104344,0.6500515638018023,0.7036613512333505
glass4,0.27056277056277056,0.27056277056277056,0.27056277056277056,0.27056277056277056,0.27056277056277056,0.18690476190476188,0.1788961038961039,0.24987012987012985,0.19574314574314566,0.13160173160173158,0.2643162393162393,0.6417905623787976,0.5085610141492495
glass5,0.10192307692307692,0.10192307692307692,0.10192307692307692,0.10192307692307692,0.10192307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.5825990675990675,0.4424908424908424
haberman,0.3368292427493367,0.3832269488857801,0.3832269488857801,0.3368292427493367,0.3832269488857801,0.35837194090166513,0.34380392545648103,0.3808041066010545,0.3428387647074228,0.35784883016867713,0.3338565241733996,0.31499365792867234,0.3324461184445745
hand positions,0.8742377350684999,0.8744652732320819,0.8803362218215219,0.8742377350684999,0.8744652732320819,0.8905652542953503,0.8718154138504779,0.8649123026994372,0.8965577288977921,0.8905678898390688,0.888292614891288,0.679975711955423,0.9226115383199464
miniboone,0.7857338668760796,0.5289803657731256,0.8746329203182823,0.7857338668760796,0.5289803657731256,0.8672782821236099,0.2596389983865557,0.4399181741118883,0.8749019506092262,0.8670686683299271,0.8671386256818021,0.8417346785494091,0.8709273798222495
mitbih,0.7313266554204517,0.7352456606520138,0.7352456606520138,0.7313266554204517,0.7352456606520138,0.6456217217246658,0.7322393958139347,0.4578161042422922,0.734249620323387,0.6874647310951225,0.6683588129065349,0.5750629376168329,0.7227537894990606
page-blocks,0.8333287855789495,0.8402953760579489,0.8402953760579489,0.8333287855789495,0.8402953760579489,0.8345548850914563,0.8125082342262676,0.8014517143869216,0.8365317786534799,0.8340992134805121,0.8357850976401059,0.8102277140286699,0.8615705838947829
pima,0.6066011953089598,0.6043961687430263,0.6043961687430263,0.6066011953089598,0.6043961687430263,0.6094725827027967,0.6082409683059004,0.6132279350867053,0.6132146350764491,0.6105436102104935,0.6111697542656591,0.6157922797623241,0.6055555396525263
vehicle1,0.4896444621621617,0.5302136481559462,0.5309986278880674,0.4896444621621617,0.5302136481559462,0.5275871643866678,0.4857362652270001,0.5064742736982165,0.5101476019239461,0.5212907210945336,0.5302377808514029,0.4885701504502884,0.5012888706535197
vehicle3,0.4760513427855851,0.5317031552953284,0.5269126571514317,0.4760513427855851,0.5317031552953284,0.5031801970089547,0.471705913421313,0.4983143079628468,0.5108943742071308,0.5192707512924998,0.5149026246614281,0.4940143680376807,0.4647983777119669
yeast1,0.5150153500550166,0.5279409280423175,0.5841599046494713,0.5150153500550166,0.5279409280423175,0.5851476628593093,0.5055087760217328,0.4592836941819392,0.5750593212291479,0.5848527851949645,0.5900613103206951,0.5281864268785557,0.5232630500325494
yeast3,0.7730991194034369,0.7478478044984234,0.7787053033632436,0.7730991194034369,0.7478478044984234,0.7759591933963171,0.7773697068850111,0.3271815381910637,0.7709591144935574,0.7788235884033738,0.7649323622236557,0.7386825352476131,0.7341175352963907
yeast4,0.2545692059218786,0.33126183060708136,0.3533163541814144,0.2545692059218786,0.33126183060708136,0.34146901110892114,0.2486743275720574,0.1928700494288513,0.3588499640496277,0.37037735286477214,0.3169848757861213,0.2479916472527331,0.2887781537857525
yeast5,0.633290680476727,0.6226138100959584,0.6460982551321277,0.633290680476727,0.6226138100959584,0.6411499756378177,0.5876569173750292,0.5761971468641564,0.6302664302478369,0.6579648265014119,0.6455396832472673,0.6841644723555735,0.6255744444605522
yeast6,0.4112342512819371,0.41971812224967897,0.4067104417581276,0.4112342512819371,0.41971812224967897,0.4282529387557196,0.4174632993258976,0.3924490683470591,0.433707590731981,0.3989401939057111,0.39519468650031697,0.4103749594166131,0.4227742563949461
