, best_precision, best_recall, balanced, promethee_precision, promethee_recall, bac, precision, recall, f1, auc, gmean,AdaBoost,Bagging
abalone9-18,0.24912519389010795,0.24912519389010795,0.24912519389010795,0.24912519389010795,0.24912519389010795,0.13806289201941374,0.20249431050346375,0.2355058466311663,0.20769794788976373,0.1931962155491567,0.194406480459112,0.3985834533555971,0.31590281193526626
aps failure,0.6872956766310955,0.5873065647823064,0.7367228767655312,0.6872956766310955,0.5873065647823064,0.6058771761702061,0.628070928494437,0.30718329931474103,0.7317514196207563,0.6308494850259885,0.5767902235981976,0.7004999437222494,0.7712553818085681
covid,0.1112973750009109,0.36161450200360734,0.3645344914215765,0.1112973750009109,0.36161450200360734,0.2211372797658358,0.014033444291952002,0.041082237414973695,0.4427826485514447,0.22306078360271084,0.2078124866100276,0.3400387544570309,0.4114211883001581
credit card,0.7198653747593812,0.8149343551049985,0.8149343551049985,0.7198653747593812,0.8149343551049985,0.8036233199933985,0.42984715637202414,0.4238409155310386,0.8111081730779945,0.8022477805005588,0.798579370350289,0.7453033424560082,0.8387960162484361
diabetes,0.0032904035381289645,0.16945039418681845,0.17834004383959218,0.0032904035381289645,0.16945039418681845,0.14860988266941105,0.0016071811832344002,0.20078923913836488,0.21092901167987904,0.19222279859390973,0.2252530955460648,0.024850970120513773,0.07213391300120812
ecoli1,0.7468329048732367,0.749878787107942,0.7620751202330149,0.7468329048732367,0.749878787107942,0.7582391160576323,0.7508497060331165,0.7405257414586996,0.7620489498152356,0.7521360704938114,0.7498847495226008,0.7498660712547947,0.7617867729850623
ecoli2,0.829781043269999,0.8323112520008156,0.8323112520008156,0.829781043269999,0.8323112520008156,0.8296390443810857,0.8350991281846923,0.8208591665843354,0.8211153724923175,0.8328701169030355,0.8236703635948933,0.7615800448864236,0.7805100293811499
ecoli3,0.5995133355815159,0.6039488194524837,0.6039488194524837,0.5995133355815159,0.6039488194524837,0.5898497729474166,0.5942826870649452,0.5981804028596138,0.6206459344457447,0.5723000584816,0.5796869232181283,0.5110536907914446,0.6190817634567226
flare-F,0.11188225895285228,0.2432430056031972,0.2435485798166372,0.11188225895285228,0.2432430056031972,0.1608952743236314,0.13059111689951514,0.2095107488967193,0.2193851530846048,0.1916172978043232,0.1975354405342744,0.2262735946322284,0.14071247039980414
glass0,0.7104290969102565,0.7381084902842281,0.7231997681746946,0.7104290969102565,0.7381084902842281,0.7348203014540179,0.7219240883442539,0.7019120496540368,0.7228793542077262,0.728797755525238,0.7356393326730027,0.7033379826128192,0.7567517450524278
