dataset, best_precision, best_recall, balanced, promethee_precision, promethee_recall, bac, precision, recall, f1, auc, gmean
aps failure,0.7896477998864786,0.9237399689431482,0.8657881374046787,0.7896477998864786,0.9237399689431482,0.9206627150605626,0.7474032481325013,0.769526170182369,0.8602470428086683,0.9159716989736946,0.9221076066456021
covid,0.5297102445147074,0.6575401416872388,0.6574486484424205,0.5297102445147074,0.6575401416872388,0.8313441788226662,0.5035634261863905,0.4996451377265658,0.7030024243645664,0.8436254414295344,0.8147804694129533
credit card,0.7932645451318261,0.8726921245184578,0.8726921245184578,0.7932645451318261,0.8726921245184578,0.8700361308972484,0.6518208269561614,0.74754592120609,0.8722796411513196,0.8692220675759789,0.857862815737404
diabetes,0.5006894198843754,0.518546119649532,0.5385572237976716,0.5006894198843754,0.518546119649532,0.5382817160681413,0.5003309070595428,0.49999783211599375,0.547639025961558,0.5487143721213821,0.5648039918992961
hand positions,0.8906504478724004,0.9146525470977604,0.9159924901937245,0.8906504478724004,0.9146525470977604,0.9185657800025149,0.8883854847934671,0.9143583867168037,0.9157021518028389,0.9174266747209895,0.9171182981328532
miniboone,0.842089564783576,0.6455425710665561,0.9128309394431108,0.842089564783576,0.6455425710665561,0.9254507833724812,0.5776524648550816,0.503438433389511,0.9186868623178839,0.9247278148864548,0.9244060453956788
mitbih,0.7943512332349828,0.7997896031600035,0.7997896031600035,0.7943512332349828,0.7997896031600035,0.81558091160781,0.7952004801753898,0.6657317906149046,0.7997619438351531,0.8102439280178245,0.8140505825538051
page-blocks,0.8834332758926905,0.8939938687571871,0.8939938687571871,0.8834332758926905,0.8939938687571871,0.8888948932888725,0.8644973123732186,0.8953281720361683,0.892460331412601,0.8925644821624383,0.8893243182229996
abalone9-18,0.5846098151090569,0.5846098151090569,0.5846098151090569,0.5846098151090569,0.5846098151090569,0.5396062039578218,0.5659982425730655,0.592362415137946,0.5709625523616929,0.5626019548365353,0.572121972651548
glass4,0.5971954266855256,0.5971954266855256,0.5971954266855256,0.5971954266855256,0.5971954266855256,0.5610952380952382,0.5539523809523811,0.5922430457331448,0.5698342762847713,0.5443293257897218,0.5989057048562
glass5,0.5595731010850942,0.5595731010850942,0.5595731010850942,0.5595731010850942,0.5595731010850942,0.5,0.5,0.5,0.5,0.5,0.5
yeast4,0.5957798648333582,0.6905163171525343,0.6720590679782962,0.5957798648333582,0.6905163171525343,0.6418826465019518,0.5890135307490325,0.6896874172514877,0.6476434230628382,0.6705531289651109,0.6294548082991551
yeast5,0.7894318181818183,0.8266603535353536,0.8196527777777778,0.7894318181818183,0.8266603535353536,0.8380239898989899,0.7582386363636363,0.8571338383838384,0.8125568181818181,0.8243371212121213,0.8302525252525251
yeast6,0.6604238329865509,0.6969560632152779,0.6737245563113797,0.6604238329865509,0.6969560632152779,0.6742510033034615,0.6672178983360666,0.7744518246239247,0.6802787247368624,0.6573192578231521,0.6728451774816742
flare-F,0.5342254781641018,0.6121282773305462,0.6084626845756983,0.5342254781641018,0.6121282773305462,0.5664675667511712,0.5411634094893405,0.724720431983114,0.5884031596079434,0.5761322634984878,0.5907609705327491
ecoli1,0.8341676866585068,0.8519182123466088,0.8477582148573581,0.8341676866585068,0.8519182123466088,0.8509865674920756,0.8451005868876125,0.8543902018014624,0.8562679283181118,0.8523640272416282,0.842023506888868
ecoli2,0.8939599133261105,0.8974539544962079,0.8974539544962079,0.8939599133261105,0.8974539544962079,0.8971018418201517,0.8937973997833153,0.906148429035753,0.8906283856988082,0.88943661971831,0.8925514626218852
ecoli3,0.7572751157858287,0.7600528935636065,0.7600528935636065,0.7572751157858287,0.7600528935636065,0.7567370471367355,0.7655585421806692,0.7918988443059343,0.7774997186512574,0.7485650781283817,0.753124875557287
glass0,0.790873015873016,0.8103769841269841,0.8003373015873017,0.790873015873016,0.8103769841269841,0.8091468253968254,0.7982142857142857,0.7838888888888889,0.7993055555555555,0.803313492063492,0.8082539682539684
glass1,0.7159801678108313,0.740045766590389,0.740045766590389,0.7159801678108313,0.740045766590389,0.7112890922959572,0.6751906941266209,0.6741990846681921,0.7004958047292144,0.7126048817696415,0.7161517925247903
haberman,0.584519711078906,0.6034547192501003,0.6034547192501003,0.584519711078906,0.6034547192501003,0.5940298826739848,0.5879774945268417,0.598948768153927,0.5857034742992816,0.5937352378896735,0.5833412283000832
pima,0.7049194029850746,0.7027044776119402,0.7027044776119402,0.7049194029850746,0.7027044776119402,0.7074805970149254,0.7073761194029851,0.7077014925373134,0.709331343283582,0.7078388059701491,0.7075044776119401
vehicle1,0.6614135035186283,0.6856414180623847,0.6857472381682047,0.6614135035186283,0.6856414180623847,0.6848499524016675,0.6599574660434825,0.6594671413823521,0.67440628461855,0.6817532140082249,0.6863198434804816
vehicle3,0.6545741324921137,0.6875141360633295,0.6834578298910781,0.6545741324921137,0.6875141360633295,0.6702443306946015,0.6515996071662402,0.6512439735730016,0.6737024581870126,0.6801306469852985,0.6766576394262246
yeast1,0.668189061187157,0.6387970979841391,0.7076264895991229,0.668189061187157,0.6387970979841391,0.7091137776213381,0.6632588950251206,0.5234185953530214,0.7011645888070047,0.7081904578142386,0.7123671675984117
yeast3,0.8687332043773072,0.8916169034270152,0.8809716812127852,0.8687332043773072,0.8916169034270152,0.8833416719499336,0.8683229726221375,0.6761707844882203,0.8742326687826237,0.888322309806634,0.8951916985226026
