, best_precision, best_recall, balanced, promethee_precision, promethee_recall, bac, precision, recall, f1, auc, gmean,AdaBoost,Bagging
abalone9-18,0.5846098151090567,0.5846098151090567,0.5846098151090567,0.5846098151090567,0.5846098151090567,0.5396062039578218,0.5659982425730655,0.592362415137946,0.5709625523616929,0.5626019548365353,0.572121972651548,0.6660882806105253,0.6087708844913091
aps failure,0.7896477998864786,0.9237399689431482,0.8657881374046787,0.7896477998864786,0.9237399689431482,0.9206627150605626,0.7474032481325013,0.769526170182369,0.8602470428086685,0.9159716989736946,0.922107606645602,0.8217150009599221,0.8464316962341281
covid,0.5297102445147074,0.6575401416872391,0.6574486484424205,0.5297102445147074,0.6575401416872391,0.8313441788226662,0.5035634261863905,0.4996451377265658,0.7030024243645664,0.8436254414295343,0.8147804694129533,0.6154402842120636,0.6466242817190822
credit card,0.7932645451318261,0.8726921245184578,0.8726921245184578,0.7932645451318261,0.8726921245184578,0.8700361308972484,0.6518208269561613,0.74754592120609,0.8722796411513196,0.8692220675759786,0.8578628157374041,0.8407266866907378,0.8875383159379162
diabetes,0.5006894198843754,0.518546119649532,0.5385572237976716,0.5006894198843754,0.518546119649532,0.5382817160681413,0.5003309070595428,0.4999978321159938,0.547639025961558,0.5487143721213821,0.5648039918992961,0.5054911564625818,0.5161714452986901
ecoli1,0.8341676866585066,0.8519182123466088,0.8477582148573579,0.8341676866585066,0.8519182123466088,0.8509865674920756,0.8451005868876125,0.8543902018014624,0.856267928318112,0.8523640272416282,0.842023506888868,0.8380273357813138,0.840294385337225
ecoli2,0.8939599133261105,0.8974539544962079,0.8974539544962079,0.8939599133261105,0.8974539544962079,0.8971018418201517,0.8937973997833153,0.9061484290357529,0.8906283856988082,0.8894366197183101,0.8925514626218851,0.8497020585048753,0.8539274106175515
ecoli3,0.7572751157858287,0.7600528935636065,0.7600528935636065,0.7572751157858287,0.7600528935636065,0.7567370471367355,0.7655585421806692,0.7918988443059343,0.7774997186512576,0.7485650781283817,0.753124875557287,0.7317093018222742,0.7649876206553261
flare-F,0.5342254781641018,0.6121282773305462,0.6084626845756983,0.5342254781641018,0.6121282773305462,0.5664675667511712,0.5411634094893405,0.7247204319831141,0.5884031596079434,0.5761322634984878,0.5907609705327491,0.577061292196673,0.5521591337636393
glass0,0.790873015873016,0.8103769841269841,0.8003373015873017,0.790873015873016,0.8103769841269841,0.8091468253968254,0.7982142857142858,0.7838888888888889,0.7993055555555555,0.8033134920634921,0.8082539682539682,0.7789682539682541,0.8186904761904762
glass1,0.7159801678108313,0.740045766590389,0.740045766590389,0.7159801678108313,0.740045766590389,0.7112890922959572,0.6751906941266209,0.6741990846681922,0.7004958047292142,0.7126048817696417,0.7161517925247902,0.7329138062547675,0.7711098398169336
glass4,0.5971954266855256,0.5971954266855256,0.5971954266855256,0.5971954266855256,0.5971954266855256,0.5610952380952382,0.5539523809523811,0.5922430457331448,0.5698342762847713,0.5443293257897218,0.5989057048561999,0.8019295143800095,0.7143540782649692
glass5,0.5595731010850942,0.5595731010850942,0.5595731010850942,0.5595731010850942,0.5595731010850942,0.5,0.5,0.5,0.5,0.5,0.5,0.8031800875690078,0.7046411574338473
haberman,0.584519711078906,0.6034547192501003,0.6034547192501003,0.584519711078906,0.6034547192501003,0.5940298826739848,0.5879774945268417,0.5989487681539271,0.5857034742992816,0.5937352378896735,0.5833412283000833,0.5591251618821499,0.5658411319416607
hand positions,0.8906504478724004,0.9146525470977602,0.9159924901937244,0.8906504478724004,0.9146525470977602,0.9185657800025148,0.8883854847934671,0.9143583867168036,0.9157021518028388,0.9174266747209896,0.9171182981328532,0.7777096119795125,0.93662012058162
miniboone,0.842089564783576,0.6455425710665561,0.9128309394431108,0.842089564783576,0.6455425710665561,0.9254507833724812,0.5776524648550816,0.503438433389511,0.918686862317884,0.9247278148864548,0.9244060453956788,0.8887976426884692,0.9067801624517192
mitbih,0.7943512332349828,0.7997896031600034,0.7997896031600034,0.7943512332349828,0.7997896031600034,0.8155809116078101,0.7952004801753898,0.6657317906149046,0.7997619438351531,0.8102439280178245,0.8140505825538051,0.7146623771283146,0.7907706007124269
page-blocks,0.8834332758926905,0.8939938687571871,0.8939938687571871,0.8834332758926905,0.8939938687571871,0.8888948932888724,0.8644973123732187,0.8953281720361683,0.8924603314126011,0.8925644821624384,0.8893243182229996,0.8857322774779695,0.9146912498633104
pima,0.7049194029850746,0.7027044776119402,0.7027044776119402,0.7049194029850746,0.7027044776119402,0.7074805970149253,0.7073761194029851,0.7077014925373134,0.7093313432835822,0.7078388059701493,0.7075044776119401,0.707976119402985,0.7022626865671641
vehicle1,0.6614135035186283,0.6856414180623847,0.6857472381682047,0.6614135035186283,0.6856414180623847,0.6848499524016674,0.6599574660434825,0.6594671413823521,0.6744062846185501,0.6817532140082248,0.6863198434804816,0.6585483312448194,0.6682296543022308
vehicle3,0.6545741324921137,0.6875141360633295,0.6834578298910781,0.6545741324921137,0.6875141360633295,0.6702443306946015,0.6515996071662401,0.6512439735730016,0.6737024581870127,0.6801306469852986,0.6766576394262247,0.664155407416225,0.6482962323671211
yeast1,0.6681890611871569,0.6387970979841391,0.7076264895991229,0.6681890611871569,0.6387970979841391,0.7091137776213381,0.6632588950251206,0.5234185953530214,0.7011645888070047,0.7081904578142386,0.7123671675984117,0.6725051419487512,0.6702258271177944
yeast3,0.8687332043773072,0.8916169034270152,0.8809716812127855,0.8687332043773072,0.8916169034270152,0.8833416719499336,0.8683229726221375,0.6761707844882203,0.8742326687826238,0.8883223098066341,0.8951916985226026,0.8499768329312749,0.8360863106090527
yeast4,0.5957798648333582,0.6905163171525343,0.6720590679782962,0.5957798648333582,0.6905163171525343,0.6418826465019518,0.5890135307490325,0.6896874172514877,0.6476434230628382,0.6705531289651109,0.6294548082991551,0.5942178249510478,0.6074488552011167
yeast5,0.7894318181818183,0.8266603535353536,0.8196527777777778,0.7894318181818183,0.8266603535353536,0.8380239898989899,0.7582386363636363,0.8571338383838384,0.8125568181818181,0.8243371212121213,0.8302525252525251,0.8362563131313131,0.7721527777777777
yeast6,0.6604238329865507,0.6969560632152778,0.6737245563113796,0.6604238329865507,0.6969560632152778,0.6742510033034617,0.6672178983360665,0.7744518246239245,0.6802787247368624,0.6573192578231521,0.6728451774816742,0.6912445464246535,0.6710344410451042
