, best_precision, best_recall, balanced, promethee_precision, promethee_recall, bac, precision, recall, f1, auc, gmean,AdaBoost,Bagging
haberman,0.584519711078906,0.6034547192501003,0.6034547192501003,0.584519711078906,0.6034547192501003,0.5940298826739848,0.5879774945268417,0.5989487681539271,0.5857034742992816,0.5937352378896735,0.5833412283000832,0.5591251618821499,0.5658411319416607
hand positions,0.8906504478724004,0.9146525470977604,0.9159924901937244,0.8906504478724004,0.9146525470977604,0.9185657800025148,0.8883854847934671,0.9143583867168036,0.9157021518028388,0.9174266747209896,0.9171182981328532,0.7777096119795127,0.93662012058162
miniboone,0.842089564783576,0.6455425710665561,0.9128309394431108,0.842089564783576,0.6455425710665561,0.9254507833724812,0.5776524648550816,0.503438433389511,0.918686862317884,0.9247278148864548,0.9244060453956788,0.8887976426884692,0.9067801624517192
mitbih,0.7943512332349828,0.7997896031600035,0.7997896031600035,0.7943512332349828,0.7997896031600035,0.8155809116078101,0.7952004801753898,0.6657317906149046,0.7997619438351531,0.8102439280178245,0.8140505825538051,0.7146623771283146,0.7907706007124269
page-blocks,0.8834332758926905,0.8939938687571871,0.8939938687571871,0.8834332758926905,0.8939938687571871,0.8888948932888725,0.8644973123732186,0.8953281720361683,0.8924603314126011,0.8925644821624383,0.8893243182229996,0.8857322774779695,0.9146912498633104
pima,0.7049194029850746,0.7027044776119402,0.7027044776119402,0.7049194029850746,0.7027044776119402,0.7074805970149254,0.7073761194029851,0.7077014925373134,0.709331343283582,0.7078388059701491,0.7075044776119401,0.707976119402985,0.7022626865671642
vehicle1,0.6614135035186283,0.6856414180623847,0.6857472381682047,0.6614135035186283,0.6856414180623847,0.6848499524016675,0.6599574660434825,0.6594671413823521,0.6744062846185501,0.6817532140082249,0.6863198434804816,0.6585483312448194,0.6682296543022307
vehicle3,0.6545741324921137,0.6875141360633295,0.6834578298910781,0.6545741324921137,0.6875141360633295,0.6702443306946015,0.6515996071662402,0.6512439735730016,0.6737024581870126,0.6801306469852985,0.6766576394262246,0.6641554074162253,0.648296232367121
yeast1,0.6681890611871569,0.6387970979841391,0.7076264895991229,0.6681890611871569,0.6387970979841391,0.7091137776213381,0.6632588950251206,0.5234185953530214,0.7011645888070047,0.7081904578142386,0.7123671675984117,0.6725051419487512,0.6702258271177945
yeast3,0.8687332043773072,0.8916169034270152,0.8809716812127852,0.8687332043773072,0.8916169034270152,0.8833416719499336,0.8683229726221375,0.6761707844882203,0.8742326687826237,0.8883223098066341,0.8951916985226026,0.8499768329312749,0.8360863106090527
yeast4,0.5957798648333582,0.6905163171525343,0.6720590679782962,0.5957798648333582,0.6905163171525343,0.6418826465019518,0.5890135307490325,0.6896874172514877,0.6476434230628382,0.6705531289651109,0.6294548082991551,0.5942178249510477,0.6074488552011167
yeast5,0.7894318181818183,0.8266603535353536,0.8196527777777778,0.7894318181818183,0.8266603535353536,0.8380239898989899,0.7582386363636363,0.8571338383838384,0.8125568181818181,0.8243371212121213,0.8302525252525251,0.8362563131313132,0.7721527777777777
yeast6,0.6604238329865509,0.6969560632152779,0.6737245563113797,0.6604238329865509,0.6969560632152779,0.6742510033034615,0.6672178983360666,0.7744518246239247,0.6802787247368624,0.6573192578231521,0.6728451774816742,0.6912445464246535,0.6710344410451041
