, best_precision, best_recall, balanced, promethee_precision, promethee_recall, bac, precision, recall, f1, auc, gmean,AdaBoost,Bagging
abalone9-18,0.5846098151090569,0.5846098151090569,0.5846098151090569,0.5846098151090569,0.5846098151090569,0.5396062039578218,0.5659982425730655,0.592362415137946,0.5709625523616929,0.5626019548365353,0.572121972651548,0.6660882806105253,0.6087708844913091
aps failure,0.7896477998864786,0.9237399689431482,0.8657881374046787,0.7896477998864786,0.9237399689431482,0.9206627150605626,0.7474032481325013,0.769526170182369,0.8602470428086683,0.9159716989736946,0.922107606645602,0.8217150009599221,0.8464316962341278
covid,0.5297102445147074,0.6575401416872388,0.6574486484424205,0.5297102445147074,0.6575401416872388,0.8313441788226662,0.5035634261863905,0.4996451377265658,0.7030024243645664,0.8436254414295344,0.8147804694129533,0.6154402842120639,0.6466242817190822
credit card,0.7932645451318261,0.8726921245184578,0.8726921245184578,0.7932645451318261,0.8726921245184578,0.8700361308972484,0.6518208269561614,0.74754592120609,0.8722796411513196,0.8692220675759789,0.8578628157374041,0.8407266866907376,0.8875383159379162
diabetes,0.5006894198843754,0.518546119649532,0.5385572237976716,0.5006894198843754,0.518546119649532,0.5382817160681413,0.5003309070595428,0.4999978321159938,0.547639025961558,0.5487143721213821,0.5648039918992961,0.5054911564625817,0.5161714452986901
ecoli1,0.8341676866585068,0.8519182123466088,0.8477582148573581,0.8341676866585068,0.8519182123466088,0.8509865674920756,0.8451005868876125,0.8543902018014624,0.8562679283181118,0.8523640272416282,0.842023506888868,0.8380273357813138,0.840294385337225
ecoli2,0.8939599133261105,0.8974539544962079,0.8974539544962079,0.8939599133261105,0.8974539544962079,0.8971018418201517,0.8937973997833153,0.9061484290357529,0.8906283856988082,0.8894366197183101,0.8925514626218852,0.8497020585048756,0.8539274106175515
ecoli3,0.7572751157858287,0.7600528935636065,0.7600528935636065,0.7572751157858287,0.7600528935636065,0.7567370471367355,0.7655585421806692,0.7918988443059343,0.7774997186512574,0.7485650781283817,0.753124875557287,0.7317093018222742,0.7649876206553261
flare-F,0.5342254781641018,0.6121282773305462,0.6084626845756983,0.5342254781641018,0.6121282773305462,0.5664675667511712,0.5411634094893405,0.7247204319831141,0.5884031596079434,0.5761322634984878,0.5907609705327491,0.577061292196673,0.5521591337636393
glass0,0.790873015873016,0.8103769841269841,0.8003373015873017,0.790873015873016,0.8103769841269841,0.8091468253968254,0.7982142857142857,0.7838888888888889,0.7993055555555555,0.8033134920634921,0.8082539682539684,0.7789682539682541,0.8186904761904763
glass1,0.7159801678108313,0.740045766590389,0.740045766590389,0.7159801678108313,0.740045766590389,0.7112890922959572,0.6751906941266209,0.6741990846681921,0.7004958047292144,0.7126048817696415,0.7161517925247903,0.7329138062547675,0.7711098398169336
glass4,0.5971954266855256,0.5971954266855256,0.5971954266855256,0.5971954266855256,0.5971954266855256,0.5610952380952382,0.5539523809523811,0.5922430457331448,0.5698342762847713,0.5443293257897218,0.5989057048561999,0.8019295143800095,0.7143540782649692
glass5,0.5595731010850942,0.5595731010850942,0.5595731010850942,0.5595731010850942,0.5595731010850942,0.5,0.5,0.5,0.5,0.5,0.5,0.8031800875690078,0.7046411574338474
