dataset, best_precision, best_recall, balanced, promethee_precision, promethee_recall, bac, precision, recall, f1, auc, gmean
aps failure,0.6872956766310955,0.5873065647823064,0.7367228767655312,0.6872956766310955,0.5873065647823064,0.6058771761702061,0.628070928494437,0.30718329931474103,0.7317514196207563,0.6308494850259885,0.5767902235981976
covid,0.1112973750009109,0.36161450200360734,0.3645344914215765,0.1112973750009109,0.36161450200360734,0.2211372797658358,0.014033444291952002,0.041082237414973695,0.44278264855144467,0.22306078360271084,0.20781248661002757
credit card,0.7198653747593812,0.8149343551049985,0.8149343551049985,0.7198653747593812,0.8149343551049985,0.8036233199933985,0.42984715637202414,0.4238409155310386,0.8111081730779945,0.8022477805005588,0.798579370350289
diabetes,0.0032904035381289645,0.16945039418681845,0.17834004383959218,0.0032904035381289645,0.16945039418681845,0.14860988266941105,0.0016071811832344002,0.20078923913836486,0.21092901167987904,0.19222279859390973,0.22525309554606476
hand positions,0.8742377350684999,0.8744652732320819,0.880336221821522,0.8742377350684999,0.8744652732320819,0.8905652542953503,0.8718154138504779,0.8649123026994372,0.8965577288977921,0.8905678898390688,0.888292614891288
miniboone,0.7857338668760796,0.5289803657731256,0.8746329203182823,0.7857338668760796,0.5289803657731256,0.8672782821236099,0.2596389983865557,0.4399181741118883,0.8749019506092262,0.8670686683299271,0.8671386256818021
mitbih,0.7313266554204517,0.7352456606520138,0.7352456606520138,0.7313266554204517,0.7352456606520138,0.6456217217246658,0.7322393958139347,0.4578161042422922,0.734249620323387,0.6874647310951225,0.6683588129065349
page-blocks,0.8333287855789495,0.8402953760579489,0.8402953760579489,0.8333287855789495,0.8402953760579489,0.8345548850914563,0.8125082342262676,0.8014517143869216,0.83653177865348,0.834099213480512,0.8357850976401059
abalone9-18,0.24912519389010793,0.24912519389010793,0.24912519389010793,0.24912519389010793,0.24912519389010793,0.13806289201941374,0.20249431050346378,0.2355058466311663,0.20769794788976373,0.1931962155491567,0.19440648045911202
glass4,0.27056277056277056,0.27056277056277056,0.27056277056277056,0.27056277056277056,0.27056277056277056,0.18690476190476188,0.1788961038961039,0.24987012987012985,0.19574314574314572,0.13160173160173158,0.2643162393162393
glass5,0.10192307692307692,0.10192307692307692,0.10192307692307692,0.10192307692307692,0.10192307692307692,0.0,0.0,0.0,0.0,0.0,0.0
yeast4,0.2545692059218786,0.33126183060708136,0.3533163541814144,0.2545692059218786,0.33126183060708136,0.34146901110892114,0.2486743275720574,0.1928700494288513,0.3588499640496277,0.37037735286477214,0.3169848757861213
yeast5,0.633290680476727,0.6226138100959584,0.6460982551321277,0.633290680476727,0.6226138100959584,0.6411499756378177,0.5876569173750292,0.5761971468641564,0.6302664302478369,0.6579648265014119,0.6455396832472673
yeast6,0.4112342512819371,0.419718122249679,0.4067104417581276,0.4112342512819371,0.419718122249679,0.4282529387557196,0.41746329932589754,0.3924490683470591,0.433707590731981,0.3989401939057111,0.39519468650031697
flare-F,0.11188225895285228,0.24324300560319717,0.24354857981663716,0.11188225895285228,0.24324300560319717,0.1608952743236314,0.13059111689951514,0.2095107488967193,0.2193851530846048,0.19161729780432316,0.1975354405342744
ecoli1,0.7468329048732367,0.749878787107942,0.762075120233015,0.7468329048732367,0.749878787107942,0.7582391160576323,0.7508497060331165,0.7405257414586996,0.7620489498152356,0.7521360704938114,0.7498847495226008
ecoli2,0.829781043269999,0.8323112520008156,0.8323112520008156,0.829781043269999,0.8323112520008156,0.8296390443810857,0.8350991281846923,0.8208591665843354,0.8211153724923175,0.8328701169030355,0.8236703635948933
ecoli3,0.5995133355815159,0.6039488194524837,0.6039488194524837,0.5995133355815159,0.6039488194524837,0.5898497729474166,0.5942826870649452,0.5981804028596138,0.6206459344457447,0.5723000584816,0.5796869232181283
glass0,0.7104290969102565,0.7381084902842281,0.7231997681746946,0.7104290969102565,0.7381084902842281,0.734820301454018,0.7219240883442539,0.7019120496540368,0.7228793542077262,0.728797755525238,0.7356393326730027
glass1,0.6186071018630328,0.6601366383560008,0.6601366383560008,0.6186071018630328,0.6601366383560008,0.6161937186175676,0.5475776920580002,0.5968370809260655,0.6031269498711359,0.6194634331515818,0.6248172914104344
haberman,0.3368292427493367,0.38322694888578007,0.38322694888578007,0.3368292427493367,0.38322694888578007,0.35837194090166513,0.343803925456481,0.38080410660105446,0.3428387647074228,0.35784883016867713,0.3338565241733996
pima,0.6066011953089598,0.6043961687430263,0.6043961687430263,0.6066011953089598,0.6043961687430263,0.6094725827027967,0.6082409683059004,0.6132279350867053,0.6132146350764491,0.6105436102104935,0.6111697542656591
vehicle1,0.48964446216216173,0.5302136481559462,0.5309986278880674,0.48964446216216173,0.5302136481559462,0.5275871643866678,0.4857362652270001,0.5064742736982165,0.5101476019239461,0.5212907210945336,0.5302377808514029
vehicle3,0.4760513427855851,0.5317031552953284,0.5269126571514317,0.4760513427855851,0.5317031552953284,0.5031801970089547,0.47170591342131296,0.49831430796284676,0.5108943742071308,0.5192707512924998,0.5149026246614281
yeast1,0.5150153500550166,0.5279409280423175,0.5841599046494713,0.5150153500550166,0.5279409280423175,0.5851476628593093,0.5055087760217328,0.45928369418193915,0.5750593212291479,0.5848527851949645,0.5900613103206951
yeast3,0.7730991194034369,0.7478478044984234,0.7787053033632436,0.7730991194034369,0.7478478044984234,0.7759591933963171,0.777369706885011,0.3271815381910637,0.7709591144935574,0.7788235884033738,0.7649323622236557
