dataset, best_precision, best_recall, balanced, promethee_precision, promethee_recall, bac, precision, recall, f1, auc, gmean
aps failure,0.6872956766310955,0.5873065647823064,0.7367228767655312,0.6872956766310955,0.5873065647823064,0.6058771761702061,0.628070928494437,0.30718329931474103,0.7317514196207563,0.6308494850259885,0.5767902235981976
covid,0.2410420682595719,0.5675690826523223,0.5671297410453955,0.2410420682595719,0.5675690826523223,0.8293849668329895,0.07489760321056668,0.00403359241783543,0.6410521526106734,0.8425708875560238,0.8114982140671485
credit card,0.7632947537202269,0.863159195997541,0.863159195997541,0.7632947537202269,0.863159195997541,0.8594444351433115,0.5198819291195642,0.5960158715988443,0.8625325077381893,0.8585722949542701,0.8453129618254431
diabetes,0.03773505357710674,0.34294376379378116,0.39453168791526183,0.03773505357710674,0.34294376379378116,0.3496509587243895,0.01783844341326121,0.0016058295156790795,0.5206904198175667,0.4554150853316643,0.5638759411930265
hand positions,0.8840931531144545,0.9123797570018194,0.9136218917938337,0.8840931531144545,0.9123797570018194,0.9160453428865767,0.8814894121485402,0.9125298559636248,0.9124546189050153,0.9147500499205364,0.9145137988852869
miniboone,0.8242950965448002,0.5219224978958001,0.9120230544173653,0.8242950965448002,0.5219224978958001,0.9253321252640015,0.3807493599227251,0.08129514274214794,0.9184245237619912,0.9246198278628294,0.9243173972218901
mitbih,0.7673842042819421,0.7745173813564196,0.7745173813564196,0.7673842042819421,0.7745173813564196,0.7958308990693659,0.7685187132720328,0.5750165350494878,0.7744744621686684,0.7885463044805593,0.7937126236620247
page-blocks,0.876786420915938,0.8887281833903053,0.8887281833903053,0.876786420915938,0.8887281833903053,0.882958640809076,0.8547976620031996,0.8910391596429937,0.887017031237664,0.8871458291840912,0.8835646880855244
abalone9-18,0.392718283588975,0.392718283588975,0.392718283588975,0.392718283588975,0.392718283588975,0.24294617638414057,0.341439251058999,0.3959957552043002,0.34533135796038017,0.3374834347975732,0.3114306810991935
glass4,0.363025922542095,0.363025922542095,0.363025922542095,0.363025922542095,0.363025922542095,0.2467356895357721,0.255231144847031,0.32285311223379193,0.26324061019404865,0.19275143069937656,0.34212835755694665
glass5,0.14778490052259247,0.14778490052259247,0.14778490052259247,0.14778490052259247,0.14778490052259247,0.0,0.0,0.0,0.0,0.0,0.0
yeast4,0.4247149260609457,0.6141036006476275,0.586516614695413,0.4247149260609457,0.6141036006476275,0.5320899945098383,0.39002749045576646,0.6620725812265915,0.5455166393108588,0.5857867187867264,0.5100466217700677
yeast5,0.757823310870619,0.8052418759695881,0.7970529387127009,0.757823310870619,0.8052418759695881,0.8210498342595438,0.7087092864825352,0.8447297087491675,0.7873962825714962,0.8054267941128191,0.8107328558971505
yeast6,0.5569146281164306,0.6134084563047033,0.5768487640456664,0.5569146281164306,0.6134084563047033,0.5819288116121372,0.5610510289496297,0.7350328484579283,0.5915165591323283,0.5275898903589128,0.5736843923106734
flare-F,0.23989437573770678,0.45028997863442016,0.4446289783483051,0.23989437573770678,0.45028997863442016,0.32534235925729327,0.2773695021541192,0.7095538348496563,0.4229277283208203,0.389183003873774,0.42427579070186194
ecoli1,0.8268306044416839,0.84956896517343,0.842910265178147,0.8268306044416839,0.84956896517343,0.8471931117284353,0.8412903124852651,0.8527126976046256,0.8540423269904572,0.8487302447312126,0.8375150709156867
ecoli2,0.8892033867659089,0.8928329931267605,0.8928329931267605,0.8892033867659089,0.8928329931267605,0.8924116072637045,0.8888453863772556,0.9039426304365821,0.8861329541723499,0.8832058176511609,0.8884805090606369
ecoli3,0.7217649436581961,0.7255385212378941,0.7255385212378941,0.7217649436581961,0.7255385212378941,0.7233616623676233,0.7317077600190276,0.7668661410283628,0.751404798241277,0.7106632559884558,0.7184622712339388
glass0,0.7831930054123084,0.8088271102003572,0.7958713668381584,0.7831930054123084,0.8088271102003572,0.8080134169408618,0.7948465201457581,0.7800439380343342,0.7975295629854857,0.800581965463234,0.8066831384769089
glass1,0.6913514098410264,0.7268353453660007,0.7268353453660007,0.6913514098410264,0.7268353453660007,0.691772012822364,0.6326474658549268,0.6610976017762409,0.679423366244953,0.695012503507975,0.6990668790846422
haberman,0.47741501364662653,0.520784273073152,0.520784273073152,0.47741501364662653,0.520784273073152,0.4954894490753901,0.4826562651127374,0.5262402576430257,0.4847101156793679,0.4961685308478442,0.4760182203467099
pima,0.6870717274347153,0.6862950303527,0.6862950303527,0.6870717274347153,0.6862950303527,0.6883938968498168,0.6864448649505949,0.6933850230828645,0.6922092681342178,0.6898632449960097,0.6909594124245386
vehicle1,0.6133349799149773,0.657664391465554,0.6563797930060081,0.6133349799149773,0.657664391465554,0.6521202047526143,0.6077733536920393,0.6425689600601211,0.6381671609459687,0.6453119777501488,0.6575305943984674
vehicle3,0.6001848642135823,0.6642909528245698,0.6540757431984039,0.6001848642135823,0.6642909528245698,0.6349867674315564,0.5933374909581781,0.6310545754111649,0.6418257835654473,0.652800163924182,0.6513017846407974
yeast1,0.623147796625521,0.5551615240282871,0.6991903061146525,0.623147796625521,0.5551615240282871,0.7012422602396964,0.6134927423736295,0.23515597887601616,0.6897656198667794,0.7031975542245976,0.7053764752822571
yeast3,0.8616729047198941,0.8885553275857501,0.8755142320315864,0.8616729047198941,0.8885553275857501,0.8787736517781012,0.8611779561701198,0.583815631385125,0.868491816868044,0.8843088880195846,0.8922881519653606
